sw     x2,36(x1):1
sub    x2,x1,x4
flw    f2,32(x2):3
bne    x1,x2,Lstr
fadd.s f10,f0,f6
fadd.s f2,f0,f5
fadd.s f2,f4,f6
fsw    f6,41(x1):5
fadd.s f4,f0,f2
sw     x2,37(x1):1
lw     x2,38(x1):1
flw    f0,32(x1):1
fadd.s f4,f0,f2
add    x3,x2,x4
sw     x2,36(x1):1
fsub.s f8,f6,f2
lw     x1,33(x1):0
fsw    f2,32(x2):0
lw     x2,35(x1):2
lw     x2,34(x1):1
fsw    f4,32(x1):4
fmul.s f0,f4,f6
sw     x2,39(x1):1
add    x1,x2,x4
beq    x3,x4,Lstr
fadd.s f4,f0,f2
lw     x2,35(x1):2
fadd.s f2,f0,f5
fmul.s f0,f2,f4
fmul.s f0,f2,f4
fdiv.s f0,f0,f6
flw    f0,32(x1):5
add    x1,x1,x2
sw     x2,39(x1):1
fadd.s f6,f8,f0
sw     x2,37(x1):1
fsub.s f8,f1,f2
flw    f2,32(x2):0
fsw    f4,32(x1):2
flw    f2,32(x2):0
sw     x4,40(x1):4
fsw    f0,32(x2):0
add    x1,x1,x2
flw    f2,32(x2):0
fsub.s f8,f1,f2
lw     x2,34(x1):1
lw     x2,34(x1):1
fadd.s f6,f8,f2
lw     x2,38(x1):1
fdiv.s f0,f0,f6
sw     x3,39(x1):4
flw    f0,32(x2):0
fadd.s f6,f8,f2
sub    x4,x1,x4
fadd.s f6,f8,f2
flw    f0,32(x1):3
fsub.s f8,f6,f2
fmul.s f0,f4,f6
flw    f0,41(x1):5
fadd.s f2,f4,f6
fadd.s f10,f0,f6
fsw    f3,33(x1):2
